title,writer,publisher,school,id_number,call_num,description,pubDate,img,catgory
슬픈 혁명,정경옥,여우볕,대덕소프트웨어마이스터고등학교,EM00010534,813.6 정14ㅅ,"조선의 천재 문장가이자 이상주의적 혁명가였던 허균의 치열했던 삶을 1인칭 주인공 시점으로 그려낸 작품. 작가 정경옥은 역사 속 허균을 불러내 그의 본성, 유교사회와의 충돌, 이상과 현실의 괴리, 외로운 천재의 고독과 갈등, 사상과 열정을 섬세하게 묘사한다.",2009-08-20,https://image.aladin.co.kr/product/441/58/coversum/8996237515_1.jpg,국내도서>소설/시/희곡>역사소설>한국 역사소설
모방범 1,미야베미유키,문학동네,대덕소프트웨어마이스터고등학교,EM00010550,833.6 미63ㅁ v.1,"'블랙펜 클럽' 25권. 이유, 이코, 용은 잠들다의 작가 미야베 미유키의 최고작이자 일본 추리소설계의 전설과도 같은 작품이다. 일본에서 2001년 출간되어 추리소설로서는 경이적인 판매고를 기록했으며, 마이니치 출판문화상 등 6개 상을 석권하면서 대중성과 작품성을 동시에 인정 받았다. 2002년에는 원작의 인기를 바탕으로 영화화되기도 했다.",2012-03-09,https://image.aladin.co.kr/product/1572/21/coversum/8954617719_1.jpg,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설
딸기밭,신경숙,문학과 지성사,대덕소프트웨어마이스터고등학교,EM00002471,813.6 신14ㄸ,"소설 <딸기밭>을 네 명의 성우(이미자, 홍승섭, 임미진, 정남)이 녹음하여 만든 오디오북.",2001-04-20,https://image.aladin.co.kr/product/27/46/coversum/8989556058_1.gif,국내도서>달력/기타>오디오북>문학 오디오북
충실한 마음,델핀 드 비강,레모,대덕소프트웨어마이스터고등학교,IT00016527,863 비12ㅊ,열두 살 테오와 마티스에게는 비밀이 있다. 아이들의 선생인 엘렌은 테오에게 무언가 좋지 않은 일이 일어나고 있다고 생각한다. 마티스의 엄마 세실은 남편의 컴퓨터에서 끔찍한 것을 발견한다. 그후 그녀는 자신이 정말로 남편을 제대로 알고 있는지 묻게 된다.,2022-05-21,https://image.aladin.co.kr/product/29443/38/coversum/k532837525_1.jpg,국내도서>소설/시/희곡>프랑스소설
모두 너와 이야기하고 싶어 해,은모든,민음사,대덕소프트웨어마이스터고등학교,IT00016633,813.8 은35ㅁ,"민음사 '오늘의 젊은 작가' 27번째 책. 2018년 「한국경제」 신춘문예로 데뷔하여 애주가의 결심 꿈은, 미니멀리즘 안락 마냥, 슬슬 등의 책을 펴내며 왕성한 작품 활동을 선보인 은모든 작가의 소설. 지금 우리에게 절실한 무언가를 건드리는 작품이다.",2020-05-29,https://image.aladin.co.kr/product/24160/58/coversum/8937473275_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
이계리 판타지아,이시우,황금가지,대덕소프트웨어마이스터고등학교,IT00016635,813.7 이58ㅇ,한국형 어반 판타지 소설. 브릿G에서 인기리에 연재되며 독자들의 관심을 받은 『이계리 판타지아』는 시골 마을 ‘이계리’로 귀촌한 작가 지망생 아가씨가 예상 밖의 괴이한 현상들을 만나며 벌어지는 일을 그리고 있다.,2018-10-30,https://image.aladin.co.kr/product/16234/13/coversum/k632534224_1.jpg,국내도서>소설/시/희곡>판타지/환상문학>한국판타지/환상소설
타라 덩컨 3 1  저주받은황홀,소피 오두인 마미코니안,소담,대덕소프트웨어마이스터고등학교,IT00007394,863 마38ㅌ v.3-1,,,,
타라 덩컨 8 1  사악한 여제,소피 오두인 마미코니안,소담출판사,대덕소프트웨어마이스터고등학교,IT00007404,863 마38ㅌ v.8-1,,,,
타라 덩컨 11 1  행성들의 전쟁,소피 오두인마미코니안,소담,대덕소프트웨어마이스터고등학교,IT00007410,863 오26ㅌ v.11-1,,,,
내 생에 꼭 하루뿐일 특별한 날,전경린,문학동네,대덕소프트웨어마이스터고등학교,IT00007573,813.6 전14ㄴ,"작가의 두번째 장편소설로, 사랑이란 열망하면 할수록 안정된 삶을 위협하는 근본적으로 불온한 정열임을 그려내 보이는 한편, 불온한 욕망, 모호한 생의 불안으로부터 진정한 나를 찾아가는 전경린 문학의 새로운 전환점을 제시한 문제작이다.",2014-01-15,https://image.aladin.co.kr/product/3539/35/coversum/8954623387_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설
